region,value
1001,48235
1003,44209
1005,28811
1007,36995
1009,41283
1011,24120
1013,28867
1015,35243
1017,31510
1019,34853
1021,38452
1023,31229
1025,32170
1027,31008
1029,37577
1031,41537
1033,37228
1035,25291
1037,32711
1039,32722
1041,31716
1043,37330
1045,38877
1047,25596
1049,34141
1051,48032
1053,31112
1055,35884
1057,33163
1059,30997
1061,32900
1063,24052
1065,31244
1067,38677
1069,36860
1071,34598
1073,41870
1075,33920
1077,40533
1079,37861
1081,41520
1083,46635
1085,27651
1087,27181
1089,54177
1091,31385
1093,31769
1095,35709
1097,39317
1099,30406
1101,40930
1103,40992
1105,23678
1107,30051
1109,33426
1111,32661
1113,33257
1115,48764
1117,63905
1119,22788
1121,35808
1123,35103
1125,42740
1127,34588
1129,38235
1131,21560
1133,31226
4003,42121
4005,45319
4007,37075
4009,40450
4011,50843
4012,31613
4013,48419
4015,35859
4017,34578
4019,40849
4021,46393
4023,33249
4025,37650
4027,37661
5001,35801
5003,33924
5005,33555
5007,52559
5009,35720
5011,29510
5013,34871
5015,31720
5017,26044
5019,33959
5021,31142
5023,38697
5025,39443
5027,34340
5029,35473
5031,38694
5033,36625
5035,35084
5037,32956
5039,30308
5041,28123
5043,32780
5045,46438
5047,36151
5049,31097
5051,36321
5053,43791
5055,37979
5057,31353
5059,37130
5061,30447
5063,35116
5065,30975
5067,30617
5069,33636
5071,31278
5073,28496
5075,32307
5077,25172
5079,33536
5081,33767
5083,31702
5085,51750
5087,33811
5089,31820
5091,37203
5093,31884
5095,27778
5097,29538
5099,31006
5101,29595
5103,32554
5105,39363
5107,24080
5109,33099
5111,31724
5113,29589
5115,36923
5117,36195
5119,43267
5121,30826
5123,26979
5125,51074
5127,30134
5129,25387
5131,38765
5133,31338
5135,29037
5137,25594
5139,35461
5141,32652
5143,40269
5145,40326
5147,27117
5149,32250
6001,67076
6003,45932
6005,48690
6007,39425
6009,48914
6011,45472
6013,73382
6015,35955
6017,58589
6019,40677
6021,39178
6023,38018
6025,37297
6027,42577
6029,43418
6031,42586
6033,34383
6035,46951
6037,50630
6039,38336
6041,87739
6043,42081
6045,39059
6047,38131
6049,34460
6051,51247
6053,51530
6055,63813
6057,51376
6059,68656
6061,68485
6063,44308
6065,50133
6067,49269
6069,62102
6071,48462
6073,57067
6075,71544
6077,47631
6079,53698
6081,84683
6083,56544
6085,85410
6087,60709
6089,38348
6091,43196
6093,34509
6095,58957
6097,56746
6099,44459
6101,44548
6103,40415
6105,33207
6107,36879
6109,47218
6111,71154
6113,51158
6115,38894
8001,51032
8003,34858
8005,56813
8007,41306
8009,33280
8011,32028
8013,66403
8014,73575
8015,44649
8017,46850
8019,59042
8021,32477
8023,26255
8025,29272
