region,value
1001,29.8
1003,25.9
1005,31.6
1007,29.2
1009,25.4
1011,35.1
1013,30.3
1015,28.7
1017,30.5
1019,26.4
1021,27.6
1023,31.2
1025,31.5
1027,28
1029,27.4
1031,30.4
1033,27.4
1035,32
1037,30.2
1039,27.1
1041,29.3
1043,25
1045,28.8
1047,35.1
1049,25.5
1051,27.1
1053,30.4
1055,28.9
1057,29.4
1059,27.9
1061,29.1
1063,35
1065,34.1
1067,30.5
1069,26.9
1071,30.3
1073,27.7
1075,26.8
1077,28.3
1079,27.6
1081,25.9
1083,28.6
1085,34.1
1087,37.9
1089,26.8
1091,31.8
1093,27.6
1095,28.3
1097,30
1099,30.5
1101,29.2
1103,26.1
1105,35.8
1107,30.8
1109,30.3
1111,29.8
1113,32.5
1115,27.4
1117,23.7
1119,35.2
1121,30.5
1123,26.9
1125,28.4
1127,29.2
1129,29.9
1131,35.8
1133,27.9
4003,22.6
4005,19.5
4007,23.1
4009,22.9
4011,22.9
4012,22.7
4013,19
4015,21.2
4017,25.3
4019,18.3
4021,26.4
4023,17.3
4025,18.9
4027,24.3
5001,28.6
5003,27.9
5005,26.3
5007,23.9
5009,25.5
5011,28.1
5013,27.4
5015,25.4
5017,31.1
5019,26.2
5021,26.8
5023,26.1
5025,27.9
5027,28.2
5029,28.6
5031,28.3
5033,24.9
5035,30.1
5037,29.9
5039,30.4
5041,29.6
5043,29
5045,25.5
5047,25.4
5049,26
5051,24.9
5053,29.3
5055,29.5
5057,29.3
5059,28.3
5061,27.7
5063,26.2
5065,26.8
5067,27.6
5069,30
5071,25.5
5073,30.5
5075,25.8
5077,30.8
5079,28.6
5081,27.7
5083,28.1
5085,24.8
5087,25.8
5089,25
5091,29.1
5093,30.1
5095,30.7
5097,25.2
5099,28.4
5101,27.2
5103,29.4
5105,28.2
5107,32.1
5109,25.5
5111,27
5113,26.8
5115,27.4
5117,26.1
5119,23.5
5121,25.9
5123,30.1
5125,26.2
5127,26.2
5129,25.3
5131,28.9
5133,26.3
5135,24.6
5137,25.8
5139,29.1
5141,29.3
5143,21.3
5145,26.4
5147,28.6
5149,26
6001,20.9
6003,21.1
6005,19.1
6007,20.6
6009,19
6011,20.3
6013,21.7
6015,20.9
6017,19.4
6019,24.5
6021,20
6023,21.7
6025,21.8
6027,19.1
6029,24.8
6031,25
6033,21.2
6035,20.7
6037,19.4
6039,20.1
6041,16.4
6043,20.3
6045,21
6047,21.6
6049,21.8
6051,19.9
6053,21.1
6055,21.1
6057,19.4
6059,18.4
6061,17.6
6063,19.1
6065,22.9
6067,21.8
6069,23.2
6071,24.3
6073,18.6
6075,15.6
6077,24.1
6079,20.3
6081,18.3
6083,19.2
6085,19.6
6087,17.8
6089,21.7
6091,19.8
6093,22.8
6095,23.9
6097,20.8
6099,26.1
6101,23.3
6103,19.6
6105,20.5
6107,21.5
6109,20.1
6111,19.8
6113,20.9
6115,22.7
8001,21.3
8003,16.2
8005,18.2
8007,15.2
8009,15.8
8011,16.9
8013,12.3
8014,18.3
8015,15.8
8017,15.3
8019,15
8021,15.7
8023,15.5
8025,18.5
8027,15.2
8029,15.1
8031,14.1
8033,15
8035,12.9
8037,12.9
8039,15.2
8041,16.6
8043,17.3
8045,13.5
8047,16
8049,15.2
8051,14.8
8053,16.6
8055,16.8
8057,13.5
8059,13.9
8061,16.2
8063,17.9
8065,15.9
8067,13.3
8069,13
8071,17.3
8073,17.2
8075,17.9
8077,17.8
8079,15.7
8081,16.4
8083,17.4
8085,16.7
8087,18.8
8089,19
8091,16
8093,14.5
8095,17.4
8097,14
8099,19.2
8101,20.4
8103,16.5
8105,17.5
8107,14
8109,15.6
8111,15.3
8113,15.1
8115,15.9
8117,13.1
8119,15.7
8121,16.3
8123,18.8
8125,16
9001,16.8
9003,19.6
9005,17.2
9007,19.9
9009,21.9
9011,20.6
9013,19.1
9015,20.7
10001,27.7
10003,21.8
10005,25.1
11001,20.3
12001,20.8
12003,26.6
12005,21.5
12007,25.7
12009,22.5
12011,19.4
12013,25.8
12015,24.7
12017,22.8
12019,22.6
12021,20
12023,25.2
12027,26
12029,26.4
12031,23.6
12033,26.6
12035,21.3
12037,22.5
12039,27
12041,24.5
12043,24.1
12045,24
12047,27.2
12049,26.1
12051,24.6
12053,19.2
12055,22.5
12057,22.5
12059,26.1
12061,19.9
12063,24.8
12065,25.2
12067,23.7
12069,23
12071,21.8
12073,21.2
12075,24.6
12077,25.3
12079,25.2
12081,21.1
12083,26
12085,20.9
12086,18.5
12087,22.6
12089,23.3
12091,23.1
12093,26.5
12095,21.4
12097,22.7
12099,20.7
12101,23.5
12103,22.5
12105,24.7
12107,25.3
12109,19.8
12111,23.2
12113,22.5
12115,19.9
12117,20.5
12119,25.8
12121,25.8
12123,28.4
12125,25.1
12127,23.8
12129,26.3
12131,22.9
12133,27.1
13001,28.5
13003,26.7
13005,26.3
13007,31.7
13009,27.3
13011,24.5
13013,25.6
13015,24.4
13017,29.8
13019,26
13021,28.8
13023,27.4
13025,25.9
13027,29.1
13029,23.5
13031,25.8
13033,31.2
13035,27.1
13037,29.6
13039,29.1
13043,27.6
13045,26.8
13047,25.2
13049,26.6
13051,27.5
13053,28.3
13055,25.6
13057,21.6
13059,24.7
13061,30
13063,28.7
13065,27
13067,21.8
13069,28
13071,28.5
13073,23
13075,28.3
13077,25.4
13079,26.5
13081,28.2
13083,24.9
13085,23.8
13087,31
13089,23.9
13091,29.8
13093,29.4
13095,31.5
13097,26.9
13099,28.6
13101,25.7
13103,26.7
13105,28.6
13107,29.3
13109,27.9
13111,24.5
13113,24.7
13115,25.6
13117,20.4
13119,24.4
13121,24.2
13123,23.3
13125,26.1
13127,27
13129,26.3
13131,27.2
13133,27.6
13135,23.3
13137,24.1
13139,24
13141,31.5
13143,25.9
13145,25.2
13147,27
13149,25.9
13151,27
13153,27.3
13155,27
13157,24
13159,26.5
13161,30.6
13163,30.3
13165,29.4
13167,28.6
13169,26.5
13171,26.1
13173,26
13175,27.7
13177,22.8
13179,28.9
13181,27.8
13183,26.5
13185,25.9
13187,24.3
13189,28.1
13191,28.3
13193,31.6
13195,24.5
13197,27.8
13199,28.2
13201,26.5
13205,29.8
13207,27.2
13209,26.4
13211,27
13213,24.9
13215,28.8
13217,26.4
13219,22.9
13221,27.9
13223,26.2
13225,28.8
13227,24
13229,25.1
13231,25.6
13233,23.3
13235,27.9
13237,26.3
13239,28.1
13241,22.8
13243,30.9
13245,28.3
13247,27.2
13249,26.7
13251,28.9
13253,29.5
13255,26.6
13257,27.1
13259,30.5
13261,29.2
13263,29.8
