County,State,State,County,County_pop,County_houses,Income,Log_income,Obes__aa,Diab__aa,Leis__aa,Urban_fract,lalowihalfshare
1001,1,AL,Autauga,54571,20221,48235,4.683,33.8,11.9,28,0.534,0.233
1003,1,AL,Baldwin,182265,73180,44209,4.646,27.2,8.8,21.2,0.454,0.285
1005,1,AL,Barbour,27457,9820,28811,4.46,44.7,16.9,31,0.242,0.414
1007,1,AL,Bibb,22915,7953,36995,4.568,40.3,13.8,33.3,0,0.331
1009,1,AL,Blount,57322,21578,41283,4.616,34.9,12.3,27.1,0.123,0.336
1011,1,AL,Bullock,10914,3745,24120,4.382,42.8,18.1,31.1,0.651,0.483
1013,1,AL,Butler,20947,8491,28867,4.46,36.6,15.4,33.3,0.211,0.477
1015,1,AL,Calhoun,118572,47331,35243,4.547,32.2,13.4,30.4,0.698,0.334
1017,1,AL,Chambers,34215,13933,31510,4.498,40,14.1,30.5,0.382,0.363
1019,1,AL,Cherokee,25989,10626,34853,4.542,33.9,10.7,32,0.155,0.369
1021,1,AL,Chilton,43643,16558,38452,4.585,36,12,29.6,0.144,0.4
1023,1,AL,Choctaw,13859,5866,31229,4.495,41.1,14.8,28.7,0,0.438
1025,1,AL,Clarke,25833,10337,32170,4.507,38.3,14,26.6,0.377,0.455
1027,1,AL,Clay,13932,5670,31008,4.491,37.7,12.2,30.3,0,0.377
1029,1,AL,Cleburne,14972,5891,37577,4.575,30.2,10.7,28.9,0,0.402
1031,1,AL,Coffee,49948,19849,41537,4.618,33.7,14.4,27.9,0.526,0.314
1033,1,AL,Colbert,54428,22773,37228,4.571,37.8,16.1,30.1,0.623,0.296
1035,1,AL,Conecuh,13228,5625,25291,4.403,36.7,14.4,30.3,0,0.509
1037,1,AL,Coosa,11539,4794,32711,4.515,39.8,14.6,29.2,0,0.386
1039,1,AL,Covington,37765,15531,32722,4.515,34.5,12.2,31.5,0.178,0.37
1041,1,AL,Crenshaw,13906,5652,31716,4.501,40.1,14.2,28.6,0,0.364
1043,1,AL,Cullman,80406,31864,37330,4.572,33.7,12.6,24.8,0.212,0.375
1045,1,AL,Dale,50251,20065,38877,4.59,36.6,13,26.5,0.342,0.341
1047,1,AL,Dallas,43820,17064,25596,4.408,40.8,16.9,29.8,0.475,0.471
1049,1,AL,DeKalb,71109,26842,34141,4.533,30.5,12,29.6,0,0.446
1051,1,AL,Elmore,79303,28301,48032,4.682,35.2,12.5,28.5,0.214,0.27
1053,1,AL,Escambia,38319,14157,31112,4.493,37.8,16.1,31.1,0.137,0.434
1055,1,AL,Etowah,104430,42036,35884,4.555,35.2,14.9,32.2,0.676,0.322
